question_id,clean_text
q720,tag_28 tag_29 tag_181 tag_183
q4662,tag_71
q9199,tag_85
q4208,tag_106
q9700,tag_77
q10036,tag_78
q8587,tag_106
q5592,tag_98
q10158,tag_85
q4346,tag_104
q4525,tag_121
q8792,tag_85
q4871,tag_71
q9101,tag_74
q9541,tag_94
q5779,tag_107
q10006,tag_83
q3939,tag_76
q5118,tag_74
q4240,tag_96
q10291,tag_85
q9607,tag_87
q5068,tag_106
q8500,tag_77
q8909,tag_78
q4560,tag_101
q9376,tag_112
q3930,tag_75
q9338,tag_87
q4271,tag_98
q9487,tag_76
q10093,tag_83
q8533,tag_77
q6737,tag_80
q9065,tag_83
q4170,tag_106
q9473,tag_106
q9753,tag_85
q4138,tag_135
q4922,tag_76
q10070,tag_76
q5502,tag_82
q5623,tag_81
q5590,tag_104
q4363,tag_82
q10077,tag_84
q9385,tag_95
q4621,tag_96
q10125,tag_85
q6117,tag_119
q10269,tag_76
q1189,tag_24 tag_25 tag_181 tag_183
q704,tag_38 tag_39 tag_183 tag_181
q6113,tag_119
q5587,tag_98
q8186,tag_71
q9752,tag_77
q6109,tag_119
q6421,tag_77
q10080,tag_84
q9839,tag_85
q8391,tag_74
q4371,tag_84
q931,tag_27 tag_36 tag_37 tag_184 tag_182
q560,tag_179 tag_34 tag_42 tag_183 tag_182
q418,tag_30 tag_34 tag_35 tag_181 tag_183
q944,tag_24 tag_33 tag_181 tag_183
q471,tag_179 tag_34 tag_42 tag_183 tag_182
q593,tag_31 tag_32 tag_182 tag_183
q831,tag_24 tag_43 tag_182 tag_181
q9437,tag_85
q6348,tag_80
q5371,tag_106
q8385,tag_121
q737,tag_27 tag_179 tag_44 tag_45 tag_184 tag_185
q1081,tag_23 tag_24 tag_33 tag_182 tag_181
q473,tag_24 tag_43 tag_181 tag_183
q942,tag_34 tag_42 tag_183 tag_184
q268,tag_24 tag_43 tag_184 tag_181
q950,tag_24 tag_50 tag_182 tag_183
q8716,tag_88
q9110,tag_85
q6417,tag_96
q635,tag_30 tag_44 tag_45 tag_181 tag_184
q1268,tag_179 tag_24 tag_41 tag_184 tag_181
q1026,tag_27 tag_24 tag_43 tag_185 tag_183
q810,tag_44 tag_45 tag_181 tag_184
q1363,tag_31 tag_32 tag_181 tag_183
q10195,tag_77
q3823,tag_86
q4834,tag_90
q8968,tag_116
q9926,tag_85
q5046,tag_112
q5113,tag_77
q3858,tag_74
q5792,tag_74
q232,tag_31 tag_32 tag_183 tag_185
q4590,tag_74
q6401,tag_77
q4126,tag_84
q8857,tag_77
q8978,tag_81
q10188,tag_77
q10202,tag_82
q5615,tag_85
q5319,tag_92
q4173,tag_74
q6405,tag_77
q3922,tag_78
q4306,tag_83
q4314,tag_83
q6713,tag_77
q6714,tag_78
q6715,tag_120
q6716,tag_143
q6993,tag_179 tag_71
q6994,tag_179 tag_143
q6995,tag_179 tag_74
q6996,tag_179 tag_90
q6709,tag_124
q6710,tag_85
q6711,tag_83
q6712,tag_143
q6661,tag_85
q6662,tag_143
q6663,tag_78
q6664,tag_135
q9970,tag_76
q4497,tag_117
q6176,tag_98
q6681,tag_179 tag_74
q6682,tag_179 tag_143
q6683,tag_179 tag_99
q6684,tag_179 tag_85
q1011,tag_38 tag_39 tag_181 tag_183
q832,tag_30 tag_31 tag_32 tag_181 tag_184
q1355,tag_31 tag_32 tag_182 tag_181
q676,tag_31 tag_32 tag_182 tag_183
q260,tag_30 tag_38 tag_39 tag_184 tag_182
q6649,tag_83
q6650,tag_76
q6651,tag_107
q6652,tag_143
q6773,tag_119
q6774,tag_143
q6775,tag_77
q6776,tag_134
q953,tag_31 tag_32 tag_181 tag_184
q1331,tag_44 tag_45 tag_183 tag_181
q1132,tag_24 tag_43 tag_181 tag_184
q1146,tag_38 tag_39 tag_182 tag_181
q369,tag_184 tag_183 tag_24 tag_40
q1069,tag_31 tag_32 tag_184 tag_183
q956,tag_44 tag_45 tag_181 tag_184
q6809,tag_74
q6810,tag_76
q6811,tag_143
q6812,tag_130
q6973,tag_179 tag_77
q6974,tag_179 tag_87
q6975,tag_179 tag_143
q6976,tag_179 tag_126
q6925,tag_130
q6926,tag_76
q6927,tag_78
q6928,tag_143
q308,tag_30 tag_34 tag_35 tag_181 tag_182
q689,tag_38 tag_39 tag_184 tag_183
q641,tag_44 tag_45 tag_181 tag_183
q620,tag_36 tag_37 tag_184 tag_182
q2187,tag_53 tag_182 tag_181
q2188,tag_53 tag_182 tag_181
q2189,tag_55 tag_182 tag_181
q2397,tag_56 tag_184 tag_183
q2398,tag_57 tag_184 tag_183
q2399,tag_52 tag_184 tag_183
q2391,tag_53 tag_182 tag_181
q2392,tag_54 tag_182 tag_181
q2393,tag_179 tag_57 tag_182 tag_181
q6841,tag_119
q6842,tag_87
q6843,tag_143
q6844,tag_71
q750,tag_31 tag_32 tag_183 tag_182
q1033,tag_34 tag_35 tag_183 tag_181
q1650,tag_56 tag_185 tag_184
q1651,tag_52 tag_185 tag_184
q1652,tag_55 tag_185 tag_184
q1545,tag_54 tag_183 tag_184
q1546,tag_179 tag_52 tag_183 tag_184
q1547,tag_52 tag_183 tag_184
q5312,tag_92
q9396,tag_87
q5819,tag_74
q6933,tag_179 tag_80
q6934,tag_179 tag_120
q6935,tag_179 tag_77
q6936,tag_179 tag_143
q5774,tag_109
q17224,tag_85
q8222,tag_155 tag_154 tag_179 tag_176 tag_153 tag_176
q8223,tag_155 tag_154 tag_179 tag_176 tag_153 tag_176
q8224,tag_155 tag_154 tag_179 tag_176 tag_150 tag_176
q8225,tag_155 tag_154 tag_179 tag_176 tag_150 tag_176
q8226,tag_155 tag_154 tag_179 tag_176 tag_149 tag_176
q1007,tag_34 tag_35 tag_184 tag_183
q1359,tag_24 tag_50 tag_181 tag_183
q752,tag_36 tag_37 tag_182 tag_181
q1989,tag_54 tag_183 tag_182
q1990,tag_52 tag_183 tag_182
q1991,tag_54 tag_183 tag_182
q1512,tag_53 tag_183 tag_184 tag_182
q1513,tag_53 tag_183 tag_184 tag_182
q1514,tag_54 tag_183 tag_184 tag_182
q1983,tag_56 tag_181 tag_182
q1984,tag_57 tag_181 tag_182
q1985,tag_54 tag_181 tag_182
q1548,tag_53 tag_183 tag_182
q1549,tag_53 tag_183 tag_182
q1550,tag_54 tag_183 tag_182
q759,tag_30 tag_34 tag_42 tag_181 tag_182
q906,tag_24 tag_26 tag_184 tag_182
q996,tag_27 tag_24 tag_41 tag_182 tag_181
q651,tag_31 tag_32 tag_182 tag_184
q375,tag_185 tag_181 tag_28 tag_29
q1036,tag_30 tag_31 tag_32 tag_181 tag_185
q1096,tag_179 tag_28 tag_29 tag_181 tag_185
q1332,tag_31 tag_32 tag_183 tag_185
q610,tag_30 tag_38 tag_39 tag_181 tag_183
q1343,tag_24 tag_48 tag_185 tag_183
q1218,tag_44 tag_45 tag_185 tag_183
q216,tag_23 tag_24 tag_25 tag_183 tag_184
q799,tag_24 tag_33 tag_183 tag_185
q9452,tag_77
q4891,tag_72
q8744,tag_128
q5717,tag_76
q1560,tag_179 tag_53 tag_181 tag_182
q1561,tag_56 tag_181 tag_182
q1562,tag_54 tag_181 tag_182
q9107,tag_85
q8914,tag_114
q9751,tag_76
q5472,tag_106
q17319,tag_76
q8194,tag_98
q5758,tag_117
q6068,tag_87
q17107,tag_74
q4077,tag_120
q1289,tag_24 tag_33 tag_184 tag_183
q633,tag_30 tag_28 tag_29 tag_184 tag_182
q580,tag_24 tag_25 tag_181 tag_183
q1374,tag_24 tag_50 tag_182 tag_183
q612,tag_28 tag_29 tag_181 tag_183
q669,tag_24 tag_41 tag_183 tag_182
q1633,tag_57 tag_184 tag_181
q1632,tag_179 tag_53 tag_184 tag_181
q1634,tag_55 tag_184 tag_181
q1766,tag_55 tag_185 tag_184 tag_183
q1765,tag_53 tag_185 tag_184 tag_183
q1764,tag_179 tag_53 tag_185 tag_184 tag_183
q1339,tag_31 tag_32 tag_185 tag_184
q1144,tag_28 tag_29 tag_181 tag_183
q452,tag_24 tag_43 tag_183 tag_181
q1918,tag_53 tag_184 tag_181
q1917,tag_56 tag_184 tag_181
q1919,tag_55 tag_184 tag_181
q1783,tag_52 tag_185 tag_181 tag_183
q1784,tag_55 tag_185 tag_181 tag_183
q1782,tag_53 tag_185 tag_181 tag_183
q2362,tag_55 tag_185 tag_181
q2361,tag_54 tag_185 tag_181
q2363,tag_57 tag_185 tag_181
q1936,tag_57 tag_182 tag_183
q1935,tag_53 tag_182 tag_183
q1937,tag_54 tag_182 tag_183
q7522,tag_170 tag_172 tag_175 tag_150 tag_178
q7524,tag_170 tag_172 tag_175 tag_149 tag_178
q7521,tag_170 tag_172 tag_175 tag_149 tag_178
q7523,tag_170 tag_172 tag_175 tag_156 tag_178
q7520,tag_170 tag_172 tag_175 tag_151 tag_178
q7545,tag_146 tag_147 tag_165 tag_179 tag_178 tag_148 tag_178
q7547,tag_146 tag_147 tag_165 tag_179 tag_178 tag_156 tag_178
q7546,tag_146 tag_147 tag_165 tag_179 tag_178 tag_153 tag_178
q7548,tag_146 tag_147 tag_165 tag_179 tag_178 tag_149 tag_178
q7549,tag_146 tag_147 tag_165 tag_179 tag_178 tag_149 tag_178
q7216,tag_167 tag_153 tag_177
q7215,tag_167 tag_148 tag_177
q7218,tag_167 tag_156 tag_177
q7217,tag_167 tag_168 tag_177
q11852,tag_143
q11853,tag_98
q11851,tag_77
q11854,tag_134
q6560,tag_179 tag_143
q6557,tag_179 tag_129
q6558,tag_179 tag_77
q6559,tag_179 tag_86
q10727,tag_71
q10724,tag_120
q10725,tag_110
q10726,tag_143
q6556,tag_143
q6553,tag_134
q6555,tag_120
q6554,tag_85
q10928,tag_85
q10929,tag_84
q10930,tag_134
q10931,tag_143
q6781,tag_78
q6782,tag_76
q6784,tag_134
q6783,tag_143
q6869,tag_122
q6872,tag_143
q6871,tag_88
q6870,tag_76
q10859,tag_120
q10856,tag_143
q10858,tag_128
q10857,tag_85
q6942,tag_179 tag_143
q6943,tag_179 tag_78
q6941,tag_179 tag_74
q6944,tag_179 tag_117
q8139,tag_12 tag_2 tag_182
q8145,tag_12 tag_2 tag_183
q1823,tag_52 tag_184 tag_181
q1821,tag_53 tag_184 tag_181
q1822,tag_179 tag_52 tag_184 tag_181
q2919,tag_60 tag_56 tag_184
q2921,tag_60 tag_54 tag_184
q2920,tag_60 tag_52 tag_184
q2741,tag_68 tag_55 tag_182
q2739,tag_68 tag_53 tag_182
q2740,tag_68 tag_52 tag_182
q7736,tag_167 tag_153 tag_177
q7733,tag_167 tag_149 tag_177
q7735,tag_167 tag_168 tag_177
q7734,tag_167 tag_153 tag_177
q8321,tag_155 tag_158 tag_179 tag_176 tag_149 tag_176
q8320,tag_155 tag_158 tag_179 tag_176 tag_149 tag_176
q8319,tag_155 tag_158 tag_179 tag_176 tag_153 tag_176
q8317,tag_155 tag_158 tag_179 tag_176 tag_148 tag_176
q8318,tag_155 tag_158 tag_179 tag_176 tag_153 tag_176
q7513,tag_146 tag_147 tag_162 tag_149 tag_178
q7512,tag_146 tag_147 tag_162 tag_149 tag_178
q7511,tag_146 tag_147 tag_162 tag_150 tag_178
q7510,tag_146 tag_147 tag_162 tag_151 tag_178
q7514,tag_146 tag_147 tag_162 tag_156 tag_178
q7612,tag_159 tag_172 tag_174 tag_153 tag_178
q7610,tag_159 tag_172 tag_174 tag_149 tag_178
q7609,tag_159 tag_172 tag_174 tag_150 tag_178
q7608,tag_159 tag_172 tag_174 tag_148 tag_178
q7611,tag_159 tag_172 tag_174 tag_149 tag_178
q8462,tag_74
q164,tag_10 tag_7 tag_181
q11047,tag_5 tag_2 tag_183
q11153,tag_6 tag_7 tag_184
q194,tag_10 tag_7 tag_185
q11036,tag_14 tag_2 tag_182
q11167,tag_20 tag_21 tag_184
q4,tag_9 tag_2 tag_179 tag_184
q8092,tag_6 tag_7 tag_183
q11005,tag_1 tag_2 tag_183
q9202,tag_76
q3787,tag_106
q6106,tag_90
q5077,tag_117
q8870,tag_76
q6082,tag_120
q4211,tag_84
q8919,tag_116
q9439,tag_85
q4816,tag_80
q5927,tag_80
q5352,tag_81
q8844,tag_125
q6373,tag_85
q124,tag_20 tag_21 tag_185
q10950,tag_10 tag_7 tag_181
q11171,tag_14 tag_2 tag_184
q9548,tag_94
q4926,tag_76
q5413,tag_133
q4841,tag_121
q8886,tag_83
q4326,tag_76
q5480,tag_106
q6150,tag_76
q10303,tag_77
q5716,tag_76
q573,tag_46 tag_47 tag_184 tag_182
q916,tag_31 tag_32 tag_184 tag_181
q2304,tag_53 tag_181 tag_182
q2305,tag_58 tag_181 tag_182
q2306,tag_55 tag_181 tag_182
q1755,tag_52 tag_183 tag_182
q1756,tag_54 tag_183 tag_182
q1757,tag_58 tag_183 tag_182
q2514,tag_53 tag_183 tag_182
q2515,tag_179 tag_52 tag_183 tag_182
q2516,tag_52 tag_183 tag_182
q1980,tag_52 tag_181 tag_182 tag_183
q1981,tag_52 tag_181 tag_182 tag_183
q1982,tag_54 tag_181 tag_182 tag_183
q2193,tag_53 tag_183 tag_185
q2194,tag_179 tag_54 tag_183 tag_185
q2195,tag_58 tag_183 tag_185
q1740,tag_54 tag_182 tag_183
q1741,tag_52 tag_182 tag_183
q1742,tag_58 tag_182 tag_183
q3177,tag_64 tag_56 tag_181
q3178,tag_64 tag_57 tag_181
q3179,tag_64 tag_54 tag_181
q2877,tag_60 tag_56 tag_185
q2878,tag_60 tag_52 tag_185
q2879,tag_60 tag_54 tag_185
q3579,tag_60 tag_53 tag_182
q3580,tag_60 tag_56 tag_182
q3581,tag_60 tag_54 tag_182
q2610,tag_64 tag_56 tag_185
q2611,tag_64 tag_52 tag_185
q2612,tag_64 tag_57 tag_185
q3333,tag_67 tag_56 tag_184
q3334,tag_67 tag_58 tag_184
q3335,tag_67 tag_54 tag_184
q3522,tag_63 tag_179 tag_56 tag_182
q3523,tag_63 tag_179 tag_52 tag_182
q3524,tag_63 tag_179 tag_52 tag_182
q10682,tag_68 tag_56 tag_184
q10683,tag_68 tag_54 tag_184
q10684,tag_68 tag_55 tag_184
q2622,tag_60 tag_179 tag_53 tag_185
q2623,tag_60 tag_179 tag_57 tag_185
q2624,tag_60 tag_179 tag_52 tag_185
q2601,tag_59 tag_56 tag_183
q2602,tag_59 tag_57 tag_183
q2603,tag_59 tag_55 tag_183
q6945,tag_179 tag_143
q6946,tag_179 tag_145
q6947,tag_179 tag_113
q6948,tag_179 tag_76
q6765,tag_179 tag_120
q6766,tag_179 tag_143
q6767,tag_179 tag_134
q6768,tag_179 tag_77
q10748,tag_73
q10749,tag_85
q10750,tag_143
q10751,tag_106
q7389,tag_170 tag_147 tag_162 tag_150 tag_178
q7390,tag_170 tag_147 tag_162 tag_149 tag_178
q7391,tag_170 tag_147 tag_162 tag_149 tag_178
q7392,tag_170 tag_147 tag_162 tag_151 tag_178
q7393,tag_170 tag_147 tag_162 tag_153 tag_178
q7505,tag_155 tag_164 tag_162 tag_156 tag_178
q7506,tag_155 tag_164 tag_162 tag_149 tag_178
q7507,tag_155 tag_164 tag_162 tag_150 tag_178
q7508,tag_155 tag_164 tag_162 tag_149 tag_178
q7509,tag_155 tag_164 tag_162 tag_151 tag_178
q7379,tag_155 tag_158 tag_162 tag_153 tag_178
q7380,tag_155 tag_158 tag_162 tag_153 tag_178
q7381,tag_155 tag_158 tag_162 tag_149 tag_178
q7382,tag_155 tag_158 tag_162 tag_149 tag_178
q7383,tag_155 tag_158 tag_162 tag_149 tag_178
q7192,tag_159 tag_147 tag_149 tag_176
q7193,tag_159 tag_147 tag_150 tag_176
q7194,tag_159 tag_147 tag_149 tag_176
q7195,tag_159 tag_147 tag_149 tag_176
q7196,tag_159 tag_147 tag_149 tag_176
q7384,tag_159 tag_164 tag_162 tag_150 tag_178
q7385,tag_159 tag_164 tag_162 tag_153 tag_178
q7386,tag_159 tag_164 tag_162 tag_156 tag_178
q7387,tag_159 tag_164 tag_162 tag_149 tag_178
q7388,tag_159 tag_164 tag_162 tag_151 tag_178
q7187,tag_155 tag_147 tag_149 tag_176
q7188,tag_155 tag_147 tag_150 tag_176
q7189,tag_155 tag_147 tag_149 tag_176
q7190,tag_155 tag_147 tag_148 tag_176
q7191,tag_155 tag_147 tag_151 tag_176
q7469,tag_167 tag_149 tag_177
q7470,tag_167 tag_168 tag_177
q7049,tag_146 tag_158 tag_162 tag_151 tag_178
q7050,tag_146 tag_158 tag_162 tag_153 tag_178
q7051,tag_146 tag_158 tag_162 tag_149 tag_178
q7052,tag_146 tag_158 tag_162 tag_149 tag_178
q7053,tag_146 tag_158 tag_162 tag_153 tag_178
q7363,tag_167 tag_149 tag_177
q7364,tag_167 tag_153 tag_177
q7365,tag_167 tag_168 tag_177
q7366,tag_167 tag_156 tag_177
q7886,tag_170 tag_172 tag_173 tag_149 tag_178
q7887,tag_170 tag_172 tag_173 tag_153 tag_178
q7888,tag_170 tag_172 tag_173 tag_149 tag_178
q7889,tag_170 tag_172 tag_173 tag_149 tag_178
q7890,tag_170 tag_172 tag_173 tag_149 tag_178
q7635,tag_159 tag_179 tag_177 tag_148 tag_177
q7636,tag_159 tag_179 tag_177 tag_156 tag_177
q7613,tag_170 tag_158 tag_162 tag_150 tag_178
q7614,tag_170 tag_158 tag_162 tag_156 tag_178
q7615,tag_170 tag_158 tag_162 tag_149 tag_178
q7616,tag_170 tag_158 tag_162 tag_156 tag_178
q7617,tag_170 tag_158 tag_162 tag_153 tag_178
q3879,tag_74
q9435,tag_85
q8733,tag_142
q3806,tag_86
q10127,tag_85
q4394,tag_84
q6404,tag_77
q4831,tag_109
q6358,tag_130
q8617,tag_77
q6145,tag_76
q9031,tag_85
q5411,tag_72
q4550,tag_119
q8858,tag_85
q6170,tag_95
q8790,tag_85
q6263,tag_71
q11116,tag_1 tag_2 tag_182
q9963,tag_76
q5349,tag_81
q8756,tag_83
q4069,tag_121
q8615,tag_85
q4301,tag_77
q4296,tag_94
q9129,tag_83
q292,tag_31 tag_32 tag_183 tag_182
q1314,tag_46 tag_47 tag_185 tag_183
q9072,tag_85
q9889,tag_119
q6020,tag_96
q5531,tag_80
q8563,tag_85
q5298,tag_80
q8118,tag_6 tag_7 tag_182
q5509,tag_96
q9817,tag_136
q3958,tag_84
q10961,tag_17 tag_7 tag_183
q11085,tag_6 tag_7 tag_183
q11013,tag_5 tag_2 tag_182
q62,tag_17 tag_7 tag_185
q787,tag_30 tag_38 tag_39 tag_184 tag_183
q9557,tag_118
q5897,tag_87
q8940,tag_92
q8785,tag_77
q3979,tag_83
q6203,tag_82
q6515,tag_116
q5607,tag_104
q5105,tag_85
q8894,tag_76
q5920,tag_84
q6100,tag_95
q9200,tag_85
q796,tag_28 tag_29 tag_184 tag_181
q9882,tag_76
q4750,tag_98
q9020,tag_81
q4799,tag_107
q9177,tag_85
q594,tag_24 tag_50 tag_184 tag_181
q8937,tag_78
q11048,tag_6 tag_7 tag_184
q11017,tag_6 tag_7 tag_182
q6745,tag_101
q9554,tag_118
q4026,tag_105
q6331,tag_94
q2592,tag_64 tag_56 tag_185
q2593,tag_64 tag_54 tag_185
q2594,tag_64 tag_57 tag_185
q2775,tag_60 tag_53 tag_182
q2776,tag_60 tag_54 tag_182
q2777,tag_60 tag_52 tag_182
q3225,tag_69 tag_57 tag_184
q3226,tag_69 tag_52 tag_184
q3227,tag_69 tag_55 tag_184
q3396,tag_59 tag_56 tag_182
q3397,tag_59 tag_53 tag_182
q3398,tag_59 tag_58 tag_182
q6905,tag_179 tag_120
q6906,tag_179 tag_134
q6907,tag_179 tag_119
q6908,tag_179 tag_143
q6665,tag_129
q6666,tag_77
q6667,tag_143
q6668,tag_73
q7219,tag_167 tag_153 tag_177
q7220,tag_167 tag_150 tag_177
q7221,tag_167 tag_168 tag_177
q7222,tag_167 tag_156 tag_177
q7579,tag_157 tag_153 tag_177
q7580,tag_157 tag_153 tag_177
q7581,tag_157 tag_156 tag_177
q7582,tag_157 tag_169 tag_177
q10096,tag_83
q3720,tag_78
q9917,tag_85
q6164,tag_94
q9079,tag_74
q5260,tag_121
q10325,tag_94
q3969,tag_83
q3940,tag_76
q4826,tag_83
q9149,tag_83
q10991,tag_8 tag_2 tag_183
q22,tag_6 tag_7 tag_179 tag_182
q2244,tag_179 tag_52 tag_182 tag_184
q2245,tag_56 tag_182 tag_184
q2246,tag_54 tag_182 tag_184
q1800,tag_53 tag_184 tag_183
q1801,tag_54 tag_184 tag_183
q1802,tag_179 tag_52 tag_184 tag_183
q2079,tag_52 tag_183 tag_182
q2080,tag_53 tag_183 tag_182
q2081,tag_55 tag_183 tag_182
q1536,tag_53 tag_182 tag_183
q1537,tag_179 tag_53 tag_182 tag_183
q1538,tag_55 tag_182 tag_183
q2520,tag_56 tag_184 tag_183
q2521,tag_53 tag_184 tag_183
q2522,tag_55 tag_184 tag_183
q2427,tag_53 tag_181 tag_185
q2428,tag_179 tag_52 tag_181 tag_185
q2429,tag_55 tag_181 tag_185
q1461,tag_53 tag_185 tag_184
q1462,tag_52 tag_185 tag_184
q1463,tag_54 tag_185 tag_184
q1986,tag_52 tag_184 tag_182 tag_181
q1987,tag_52 tag_184 tag_182 tag_181
q1988,tag_55 tag_184 tag_182 tag_181
q10247,tag_83
q10137,tag_77
q6260,tag_74
q5495,tag_96
q3135,tag_60 tag_53 tag_184
q3136,tag_60 tag_52 tag_184
q3137,tag_60 tag_54 tag_184
q2859,tag_61 tag_179 tag_53 tag_181
q2860,tag_61 tag_179 tag_52 tag_181
q2861,tag_61 tag_179 tag_55 tag_181
q3192,tag_64 tag_179 tag_56 tag_182
q3193,tag_64 tag_179 tag_57 tag_182
q3194,tag_64 tag_179 tag_52 tag_182
q3252,tag_67 tag_179 tag_56 tag_181
q3253,tag_67 tag_179 tag_58 tag_181
q3254,tag_67 tag_179 tag_55 tag_181
q5528,tag_119
q5770,tag_108
q9534,tag_94
q8528,tag_83
q10056,tag_76
q9993,tag_83
q9383,tag_119
q11122,tag_8 tag_2 tag_184
q6328,tag_94
q6081,tag_120
q10108,tag_107
q8811,tag_124
q5351,tag_81
q730,tag_28 tag_29 tag_181 tag_185
q330,tag_34 tag_35 tag_183 tag_185
q2463,tag_56 tag_184 tag_181
q2464,tag_53 tag_184 tag_181
q2465,tag_54 tag_184 tag_181
q1713,tag_56 tag_183 tag_185
q1714,tag_52 tag_183 tag_185
q1715,tag_58 tag_183 tag_185
q1617,tag_54 tag_182 tag_183
q1618,tag_53 tag_182 tag_183
q1619,tag_57 tag_182 tag_183
q1527,tag_53 tag_185 tag_181
q1528,tag_54 tag_185 tag_181
q1529,tag_58 tag_185 tag_181
q11269,tag_61 tag_53 tag_182
q11270,tag_61 tag_52 tag_182
q11271,tag_61 tag_55 tag_182
q3276,tag_68 tag_53 tag_183
q3277,tag_68 tag_52 tag_183
q3278,tag_68 tag_58 tag_183
q2967,tag_67 tag_53 tag_185
q2968,tag_67 tag_52 tag_185
q2969,tag_67 tag_55 tag_185
q11287,tag_194 tag_53 tag_183
q11288,tag_194 tag_52 tag_183
q11289,tag_194 tag_55 tag_183
q10115,tag_85
q4050,tag_78
q3982,tag_83
q9163,tag_77
q11225,tag_15 tag_2 tag_181
q177,tag_6 tag_7 tag_182
q1251,tag_30 tag_36 tag_37 tag_183 tag_184
q1187,tag_30 tag_31 tag_32 tag_184 tag_183
q442,tag_38 tag_39 tag_181 tag_185
q9341,tag_95
q1584,tag_56 tag_184 tag_183
q1585,tag_58 tag_184 tag_183
q1586,tag_55 tag_184 tag_183
q1788,tag_52 tag_182 tag_181
q1789,tag_53 tag_182 tag_181
q1790,tag_54 tag_182 tag_181
q2364,tag_53 tag_185 tag_183
q2365,tag_52 tag_185 tag_183
q2366,tag_55 tag_185 tag_183
q2421,tag_53 tag_183 tag_184
q2422,tag_54 tag_183 tag_184
q2423,tag_179 tag_52 tag_183 tag_184
q2523,tag_53 tag_181 tag_182
q2524,tag_52 tag_181 tag_182
q2525,tag_52 tag_181 tag_182
q1482,tag_53 tag_181 tag_185
q1483,tag_53 tag_181 tag_185
q1484,tag_54 tag_181 tag_185
q1587,tag_52 tag_181 tag_182
q1588,tag_58 tag_181 tag_182
q1589,tag_179 tag_54 tag_181 tag_182
q2619,tag_63 tag_179 tag_52 tag_181
q2620,tag_63 tag_179 tag_52 tag_181
q2621,tag_63 tag_179 tag_57 tag_181
q29,tag_4 tag_2 tag_183
q11060,tag_5 tag_2 tag_182
q70,tag_6 tag_7 tag_181
q10322,tag_83
q4481,tag_99
q5497,tag_103
q10231,tag_83
q10100,tag_83
q4252,tag_86
q9990,tag_83
q1311,tag_28 tag_29 tag_185 tag_183
q279,tag_28 tag_29 tag_182 tag_183
q1734,tag_56 tag_182 tag_183
q1735,tag_52 tag_182 tag_183
q1736,tag_58 tag_182 tag_183
q2472,tag_53 tag_181 tag_184
q2473,tag_56 tag_181 tag_184
q2474,tag_55 tag_181 tag_184
q2031,tag_56 tag_182 tag_181 tag_184
q2032,tag_52 tag_182 tag_181 tag_184
q2033,tag_54 tag_182 tag_181 tag_184
q2259,tag_179 tag_53 tag_184 tag_183
q2260,tag_52 tag_184 tag_183
q2261,tag_54 tag_184 tag_183
q2004,tag_56 tag_182 tag_183
q2005,tag_58 tag_182 tag_183
q2006,tag_54 tag_182 tag_183
q4183,tag_74
q9740,tag_76
q4593,tag_133
q4355,tag_78
q9365,tag_119
q4116,tag_83
q4605,tag_81
q6467,tag_77
q6756,tag_83
q5478,tag_103
q5354,tag_90
q9469,tag_106
q6547,tag_95
q1620,tag_56 tag_181 tag_184
q1621,tag_179 tag_57 tag_181 tag_184
q1622,tag_55 tag_181 tag_184
q10360,tag_76
q10361,tag_143
q10362,tag_77
q10363,tag_86
q7700,tag_159 tag_150 tag_177
q7701,tag_159 tag_151 tag_177
q7702,tag_159 tag_169 tag_177
q8132,tag_6 tag_7 tag_182
q25,tag_6 tag_7 tag_181
q11129,tag_15 tag_2 tag_183
q725,tag_31 tag_32 tag_185 tag_183
q9705,tag_85
q6746,tag_104
q10241,tag_83
q4323,tag_76
q9498,tag_84
q6325,tag_129
q6161,tag_85
q10129,tag_76
q2202,tag_58 tag_183 tag_184
q2203,tag_52 tag_183 tag_184
q2204,tag_54 tag_183 tag_184
q1884,tag_52 tag_183 tag_182
q1885,tag_54 tag_183 tag_182
q1886,tag_57 tag_183 tag_182
q2283,tag_52 tag_182 tag_181
q2284,tag_52 tag_182 tag_181
q2285,tag_58 tag_182 tag_181
q3414,tag_62 tag_179 tag_56 tag_182
q3415,tag_62 tag_179 tag_52 tag_182
q3416,tag_62 tag_179 tag_52 tag_182
q3480,tag_64 tag_179 tag_53 tag_184
q3481,tag_64 tag_179 tag_52 tag_184
q3482,tag_64 tag_179 tag_54 tag_184
q2817,tag_59 tag_56 tag_182
q2818,tag_59 tag_52 tag_182
q2819,tag_59 tag_52 tag_182
q2709,tag_63 tag_56 tag_181
q2710,tag_63 tag_52 tag_181
q2711,tag_63 tag_52 tag_181
q2631,tag_59 tag_179 tag_56 tag_183
q2632,tag_59 tag_179 tag_57 tag_183
q2633,tag_59 tag_179 tag_55 tag_183
q3822,tag_86
q8662,tag_119
q4444,tag_98
q6199,tag_121
q10109,tag_83
q9915,tag_85
q6251,tag_119
q3975,tag_83
q8981,tag_92
q8659,tag_121
q9046,tag_83
q3932,tag_84
q438,tag_30 tag_31 tag_32 tag_185 tag_183
q646,tag_28 tag_37 tag_181 tag_183
q508,tag_31 tag_32 tag_182 tag_184
q440,tag_31 tag_32 tag_185 tag_183
q4445,tag_84
q9639,tag_78
q10038,tag_78
q8897,tag_85
q10026,tag_78
q6512,tag_114
q8187,tag_83
q6075,tag_90
q9124,tag_76
q8607,tag_85
q4764,tag_74
