question_id,tags,Pseudoteks (clean_text)
q8108,18;7;183,tag_18 tag_7 tag_183
q11083,20;21;181,tag_20 tag_21 tag_181
q9167,85,tag_85
q5646,130,tag_130
q63,4;2;185,tag_4 tag_2 tag_185
q8176,4;2;184,tag_4 tag_2 tag_184
q11158,8;2;181,tag_8 tag_2 tag_181
q1055,27;24;26;185;183,tag_27 tag_24 tag_26 tag_185 tag_183
q10049,78,tag_78
q5197,74,tag_74
q5293,80,tag_80
q5003,74,tag_74
q5453,103,tag_103
q6143,83,tag_83
q6722,77,tag_77
q4014,85,tag_85
q9642,78,tag_78
q10107,107,tag_107
q4091,90,tag_90
q5341,135,tag_135
q8704,88,tag_88
q4790,100,tag_100
q4563,129,tag_129
q8843,125,tag_125
q5635,93,tag_93
q9678,85,tag_85
q5566,98,tag_98
q4158,102,tag_102
q10289,77,tag_77
q421,46;47;181;184,tag_46 tag_47 tag_181 tag_184
q1121,179;34;42;183;185,tag_179 tag_34 tag_42 tag_183 tag_185
q981,36;37;183;184,tag_36 tag_37 tag_183 tag_184
q317,23;179;24;25;183;185,tag_23 tag_179 tag_24 tag_25 tag_183 tag_185
q412,31;42;183;184,tag_31 tag_42 tag_183 tag_184
q1010,24;41;185;183,tag_24 tag_41 tag_185 tag_183
q992,179;24;48;183;184,tag_179 tag_24 tag_48 tag_183 tag_184
q962,38;39;181;182,tag_38 tag_39 tag_181 tag_182
q977,44;45;181;182,tag_44 tag_45 tag_181 tag_182
q491,179;34;35;181;184,tag_179 tag_34 tag_35 tag_181 tag_184
q497,28;29;183;184,tag_28 tag_29 tag_183 tag_184
q1217,24;26;183;185,tag_24 tag_26 tag_183 tag_185
q1168,31;32;181;183,tag_31 tag_32 tag_181 tag_183
q5051,107,tag_107
q4282,129,tag_129
q5004,100,tag_100
q9327,120,tag_120
q8425,83,tag_83
q971,24;33;181;182,tag_24 tag_33 tag_181 tag_182
q399,30;31;32;185;181,tag_30 tag_31 tag_32 tag_185 tag_181
q346,179;34;35;184;182,tag_179 tag_34 tag_35 tag_184 tag_182
q1212,30;179;31;32;185;181,tag_30 tag_179 tag_31 tag_32 tag_185 tag_181
q960,24;26;182;183,tag_24 tag_26 tag_182 tag_183
q1301,31;32;183;181,tag_31 tag_32 tag_183 tag_181
q8554,85,tag_85
q4231,71,tag_71
q3906,84,tag_84
q4198,77,tag_77
q8768,85,tag_85
q597,24;41;182;184,tag_24 tag_41 tag_182 tag_184
q1243,28;29;181;183,tag_28 tag_29 tag_181 tag_183
q203,38;39;183;185,tag_38 tag_39 tag_183 tag_185
q741,27;38;39;183;182,tag_27 tag_38 tag_39 tag_183 tag_182
q6480,76,tag_76
q8594,97,tag_97
q5786,89,tag_89
q5759,100,tag_100
q5987,104,tag_104
q8859,85,tag_85
q4190,76,tag_76
q3899,80,tag_80
q5520,96,tag_96
q5772,109,tag_109
q4246,86,tag_86
q10227,84,tag_84
q6097,121,tag_121
q4539,145,tag_145
q8576,77,tag_77
q3812,72,tag_72
q1105,30;34;35;185;181,tag_30 tag_34 tag_35 tag_185 tag_181
q994,24;41;181;183,tag_24 tag_41 tag_181 tag_183
q385,24;41;183;185,tag_24 tag_41 tag_183 tag_185
q690,31;32;184;181,tag_31 tag_32 tag_184 tag_181
q470,27;179;24;26;184;181,tag_27 tag_179 tag_24 tag_26 tag_184 tag_181
q3763,96,tag_96
q9559,118,tag_118
q6524,121,tag_121
q5043,133,tag_133
q5760,83,tag_83
q9161,85,tag_85
q9389,144,tag_144
q3901,83,tag_83
q4769,129,tag_129
q8883,76,tag_76
q5664,95,tag_95
q5079,72,tag_72
q5849,104,tag_104
q8990,72,tag_72
q3953,76,tag_76
q721,179;34;42;185;181,tag_179 tag_34 tag_42 tag_185 tag_181
q301,34;42;183;182,tag_34 tag_42 tag_183 tag_182
q1063,23;24;33;183;181,tag_23 tag_24 tag_33 tag_183 tag_181
q813,31;32;181;184,tag_31 tag_32 tag_181 tag_184
q6323,129,tag_129
q9098,86,tag_86
q9851,77,tag_77
q5223,138,tag_138
q10310,85,tag_85
q463,27;179;38;39;184;181,tag_27 tag_179 tag_38 tag_39 tag_184 tag_181
q1073,24;41;182;183,tag_24 tag_41 tag_182 tag_183
q242,24;41;183;185,tag_24 tag_41 tag_183 tag_185
q1101,27;24;26;181;185,tag_27 tag_24 tag_26 tag_181 tag_185
q1294,24;41;181;185,tag_24 tag_41 tag_181 tag_185
q1154,28;29;184;181,tag_28 tag_29 tag_184 tag_181
q751,46;47;182;181,tag_46 tag_47 tag_182 tag_181
q1393,30;38;39;182;184,tag_30 tag_38 tag_39 tag_182 tag_184
q6053,103,tag_103
q4187,72,tag_72
q8705,88,tag_88
q6352,130,tag_130
q647,27;46;47;183;182,tag_27 tag_46 tag_47 tag_183 tag_182
q314,24;43;185;183,tag_24 tag_43 tag_185 tag_183
q713,38;39;184;185,tag_38 tag_39 tag_184 tag_185
q985,46;47;184;183,tag_46 tag_47 tag_184 tag_183
q890,23;24;33;182;181,tag_23 tag_24 tag_33 tag_182 tag_181
q230,24;48;181;183,tag_24 tag_48 tag_181 tag_183
q1326,30;34;35;183;185,tag_30 tag_34 tag_35 tag_183 tag_185
q5650,128,tag_128
q8508,85,tag_85
q8630,77,tag_77
q6177,99,tag_99
q4540,128,tag_128
q8918,114,tag_114
q5369,106,tag_106
q9955,77,tag_77
q5678,95,tag_95
q6074,125,tag_125
q8605,77,tag_77
q4386,98,tag_98
q6452,106,tag_106
q8959,115,tag_115
q6258,83,tag_83
q9103,119,tag_119
q411,30;34;42;185;181,tag_30 tag_34 tag_42 tag_185 tag_181
q542,30;31;49;182;184,tag_30 tag_31 tag_49 tag_182 tag_184
q1014,24;40;181;185,tag_24 tag_40 tag_181 tag_185
q1253,46;47;184;185,tag_46 tag_47 tag_184 tag_185
q947,27;24;40;183;181,tag_27 tag_24 tag_40 tag_183 tag_181
q221,36;37;185;183,tag_36 tag_37 tag_185 tag_183
q1241,27;24;43;183;185,tag_27 tag_24 tag_43 tag_183 tag_185
q5666,119,tag_119
q3764,86,tag_86
q8492,85,tag_85
q8703,88,tag_88
q6034,106,tag_106
q9436,85,tag_85
q4680,71,tag_71
q9112,76,tag_76
q8822,108,tag_108
q342,179;46;47;183;181,tag_179 tag_46 tag_47 tag_183 tag_181
q728,44;45;183;185,tag_44 tag_45 tag_183 tag_185
q657,27;179;28;45;181;182,tag_27 tag_179 tag_28 tag_45 tag_181 tag_182
q1119,30;34;35;181;184,tag_30 tag_34 tag_35 tag_181 tag_184
q494,36;37;181;183,tag_36 tag_37 tag_181 tag_183
q376,183;185;24;43,tag_183 tag_185 tag_24 tag_43
q220,27;31;32;181;185,tag_27 tag_31 tag_32 tag_181 tag_185
q922,27;24;26;183;182,tag_27 tag_24 tag_26 tag_183 tag_182
q546,30;34;35;183;182,tag_30 tag_34 tag_35 tag_183 tag_182
q920,24;48;182;184,tag_24 tag_48 tag_182 tag_184
q1283,28;43;181;183,tag_28 tag_43 tag_181 tag_183
q659,23;24;33;182;184,tag_23 tag_24 tag_33 tag_182 tag_184
q398,30;24;43;183;184,tag_30 tag_24 tag_43 tag_183 tag_184
q8509,85,tag_85
q6139,95,tag_95
q4311,77,tag_77
q9761,76,tag_76
q5768,131,tag_131
q9336,87,tag_87
q5682,137,tag_137
q8953,114,tag_114
q4508,75,tag_75
q4192,106,tag_106
q5067,112,tag_112
q5287,79,tag_79
q9165,85,tag_85
q6067,119,tag_119
q5724,117,tag_117
q309,28;29;183;184,tag_28 tag_29 tag_183 tag_184
q374,183;185;30;31;32,tag_183 tag_185 tag_30 tag_31 tag_32
q993,30;38;39;182;181,tag_30 tag_38 tag_39 tag_182 tag_181
q1400,46;47;184;182,tag_46 tag_47 tag_184 tag_182
q1097,179;46;39;181;183,tag_179 tag_46 tag_39 tag_181 tag_183
q1071,24;26;181;182,tag_24 tag_26 tag_181 tag_182
q212,27;24;26;183;184,tag_27 tag_24 tag_26 tag_183 tag_184
q686,30;179;38;39;184;182,tag_30 tag_179 tag_38 tag_39 tag_184 tag_182
q5713,71,tag_71
q6062,95,tag_95
q5492,82,tag_82
q5284,117,tag_117
q6749,85,tag_85
q9965,76,tag_76
q6345,75,tag_75
q4535,126,tag_126
q8530,76,tag_76
q6517,116,tag_116
q4732,116,tag_116
q8943,78,tag_78
q4028,72,tag_72
q3847,82,tag_82
q8207,85,tag_85
q4615,78,tag_78
q3676,85,tag_85
q4202,76,tag_76
q9702,83,tag_83
q1068,23;179;28;47;183;181,tag_23 tag_179 tag_28 tag_47 tag_183 tag_181
q790,27;24;40;185;183,tag_27 tag_24 tag_40 tag_185 tag_183
q329,30;179;38;39;183;185,tag_30 tag_179 tag_38 tag_39 tag_183 tag_185
q1135,31;32;181;183,tag_31 tag_32 tag_181 tag_183
q350,179;46;47;182;181,tag_179 tag_46 tag_47 tag_182 tag_181
q1116,179;34;42;181;185,tag_179 tag_34 tag_42 tag_181 tag_185
q552,36;37;184;181,tag_36 tag_37 tag_184 tag_181
q1176,28;29;184;181,tag_28 tag_29 tag_184 tag_181
q1019,38;39;181;183,tag_38 tag_39 tag_181 tag_183
q656,23;24;25;184;183,tag_23 tag_24 tag_25 tag_184 tag_183
q4865,132,tag_132
q4631,132,tag_132
q3759,103,tag_103
q4469,109,tag_109
q9203,85,tag_85
q6504,92,tag_92
q273,179;44;45;181;183,tag_179 tag_44 tag_45 tag_181 tag_183
q838,179;34;35;183;184,tag_179 tag_34 tag_35 tag_183 tag_184
q608,179;44;45;181;183,tag_179 tag_44 tag_45 tag_181 tag_183
q805,179;34;35;183;184,tag_179 tag_34 tag_35 tag_183 tag_184
q388,44;45;184;185,tag_44 tag_45 tag_184 tag_185
q914,30;24;33;184;181,tag_30 tag_24 tag_33 tag_184 tag_181
q1051,24;41;185;181,tag_24 tag_41 tag_185 tag_181
q1125,38;39;182;183,tag_38 tag_39 tag_182 tag_183
q4180,86,tag_86
q8956,116,tag_116
q6287,74,tag_74
q6261,108,tag_108
q4516,79,tag_79
q8777,85,tag_85
q10196,77,tag_77
q880,24;41;184;183,tag_24 tag_41 tag_184 tag_183
q1179,179;31;45;182;183,tag_179 tag_31 tag_45 tag_182 tag_183
q674,30;31;32;181;182,tag_30 tag_31 tag_32 tag_181 tag_182
q837,30;34;42;181;183,tag_30 tag_34 tag_42 tag_181 tag_183
q1018,30;34;35;185;181,tag_30 tag_34 tag_35 tag_185 tag_181
q936,24;40;181;182,tag_24 tag_40 tag_181 tag_182
q3808,103,tag_103
q5743,129,tag_129
q8392,76,tag_76
q5429,86,tag_86
q6225,99,tag_99
q818,46;47;181;184,tag_46 tag_47 tag_181 tag_184
q1249,44;45;185;183,tag_44 tag_45 tag_185 tag_183
q9183,85,tag_85
q5778,107,tag_107
q6060,122,tag_122
q3973,83,tag_83
q5274,90,tag_90
q3688,89,tag_89
q5345,135,tag_135
q8895,85,tag_85
q4112,85,tag_85
q5097,94,tag_94
q9847,85,tag_85
q5532,80,tag_80
q3776,82,tag_82
q8371,88,tag_88
q4849,126,tag_126
q4630,132,tag_132
q8700,121,tag_121
q4796,74,tag_74
q4299,82,tag_82
q5309,130,tag_130
q3966,83,tag_83
q9693,77,tag_77
q6184,128,tag_128
q5777,107,tag_107
q9022,112,tag_112
q4328,76,tag_76
q5110,90,tag_90
q4894,75,tag_75
q9598,121,tag_121
q5400,99,tag_99
q9016,92,tag_92
q5093,80,tag_80
q4205,75,tag_75
q9178,76,tag_76
q5787,112,tag_112
q4065,95,tag_95
q5285,93,tag_93
q6120,122,tag_122
q4509,118,tag_118
q9801,145,tag_145
q4839,119,tag_119
q8793,76,tag_76
q5206,105,tag_105
q3684,123,tag_123
q6733,137,tag_137
q8866,85,tag_85
q3942,76,tag_76
q3983,132,tag_132
q9151,76,tag_76
q5045,109,tag_109
q9588,119,tag_119
q8211,119,tag_119
q9546,129,tag_129
q8378,77,tag_77
q5836,98,tag_98
q6514,116,tag_116
q8789,76,tag_76
q3755,82,tag_82
q8455,105,tag_105
q10075,76,tag_76
q5150,105,tag_105
q9443,85,tag_85
q9003,113,tag_113
q9201,85,tag_85
q5694,123,tag_123
q5227,119,tag_119
q9805,140,tag_140
q5034,78,tag_78
q4558,102,tag_102
q10076,76,tag_76
q4734,92,tag_92
q10004,83,tag_83
q5568,84,tag_84
q9579,95,tag_95
q3955,76,tag_76
q10194,77,tag_77
q3745,78,tag_78
q6738,86,tag_86
q4704,71,tag_71
q9867,76,tag_76
q4545,129,tag_129
q5742,129,tag_129
q10217,76,tag_76
q6334,75,tag_75
q3659,133,tag_133
q8709,88,tag_88
q5392,138,tag_138
q3811,103,tag_103
q9772,106,tag_106
q3923,93,tag_93
q4753,106,tag_106
q6419,76,tag_76
q6210,121,tag_121
q4106,86,tag_86
q4757,105,tag_105
q4002,75,tag_75
q3768,106,tag_106
q9942,77,tag_77
q5340,135,tag_135
q298,23;24;25;183;182,tag_23 tag_24 tag_25 tag_183 tag_182
q8529,77,tag_77
q6353,130,tag_130
q5321,114,tag_114
q10248,83,tag_83
q5463,103,tag_103
q9824,141,tag_141
q5519,82,tag_82
q9848,76,tag_76
q4196,92,tag_92
q5951,80,tag_80
q8632,76,tag_76
q10044,78,tag_78
q4023,130,tag_130
q10213,76,tag_76
q5388,138,tag_138
q9788,121,tag_121
q5747,94,tag_94
q9766,76,tag_76
q5773,109,tag_109
q4749,78,tag_78
q10222,76,tag_76
q10011,78,tag_78
q5325,81,tag_81
q9145,77,tag_77
q5334,116,tag_116
q5639,86,tag_86
q4143,76,tag_76
q4633,132,tag_132
q5515,82,tag_82
q5525,106,tag_106
q6441,133,tag_133
q6115,120,tag_120
q6021,82,tag_82
q10319,84,tag_84
q5839,84,tag_84
q9489,76,tag_76
q5438,96,tag_96
q8636,83,tag_83
q4353,107,tag_107
q5660,87,tag_87
q9094,138,tag_138
q6144,88,tag_88
q4176,122,tag_122
q9956,106,tag_106
q4320,101,tag_101
q6433,103,tag_103
q9139,85,tag_85
q5699,77,tag_77
q10284,85,tag_85
q6008,98,tag_98
q10197,77,tag_77
q9187,77,tag_77
q4367,98,tag_98
q5656,122,tag_122
q3959,84,tag_84
q9608,73,tag_73
q5677,122,tag_122
q5503,82,tag_82
q400,46;47;183;185,tag_46 tag_47 tag_183 tag_185
q1134,24;26;184;181,tag_24 tag_26 tag_184 tag_181
q1395,31;32;183;182,tag_31 tag_32 tag_183 tag_182
q10072,76,tag_76
q4472,107,tag_107
q5304,130,tag_130
q9369,128,tag_128
q5236,90,tag_90
q4609,78,tag_78
q6407,77,tag_77
q862,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q910,24;40;184;182,tag_24 tag_40 tag_184 tag_182
q551,28;29;184;183,tag_28 tag_29 tag_184 tag_183
q253,31;32;185;183,tag_31 tag_32 tag_185 tag_183
q215,30;34;35;183;185,tag_30 tag_34 tag_35 tag_183 tag_185
q1269,24;40;184;182,tag_24 tag_40 tag_184 tag_182
q1308,31;32;184;185,tag_31 tag_32 tag_184 tag_185
q5763,101,tag_101
q3751,86,tag_86
q9442,85,tag_85
q5895,119,tag_119
q10130,76,tag_76
q999,36;37;182;183,tag_36 tag_37 tag_182 tag_183
q839,24;40;181;183,tag_24 tag_40 tag_181 tag_183
q1341,30;31;42;184;183,tag_30 tag_31 tag_42 tag_184 tag_183
q1305,28;29;183;185,tag_28 tag_29 tag_183 tag_185
q505,31;32;182;181,tag_31 tag_32 tag_182 tag_181
q227,23;24;25;183;181,tag_23 tag_24 tag_25 tag_183 tag_181
q820,30;34;42;181;184,tag_30 tag_34 tag_42 tag_181 tag_184
q868,24;41;181;185,tag_24 tag_41 tag_181 tag_185
q435,27;24;41;185;181,tag_27 tag_24 tag_41 tag_185 tag_181
q1351,24;33;184;181,tag_24 tag_33 tag_184 tag_181
q361,24;41;183;182,tag_24 tag_41 tag_183 tag_182
q638,34;42;184;181,tag_34 tag_42 tag_184 tag_181
q1302,34;35;183;184,tag_34 tag_35 tag_183 tag_184
q824,24;50;182;184,tag_24 tag_50 tag_182 tag_184
q4258,86,tag_86
q4018,116,tag_116
q9349,93,tag_93
q6190,72,tag_72
q9946,77,tag_77
q9117,77,tag_77
q4294,119,tag_119
q6175,97,tag_97
q5053,107,tag_107
q9785,71,tag_71
q6125,119,tag_119
q5526,103,tag_103
q632,24;41;184;181,tag_24 tag_41 tag_184 tag_181
q8653,121,tag_121
q8727,142,tag_142
q5072,93,tag_93
q5730,77,tag_77
q911,24;43;182;181,tag_24 tag_43 tag_182 tag_181
q991,24;40;181;184,tag_24 tag_40 tag_181 tag_184
q885,23;24;25;181;182,tag_23 tag_24 tag_25 tag_181 tag_182
q495,30;179;28;29;184;181,tag_30 tag_179 tag_28 tag_29 tag_184 tag_181
q445,28;29;181;185,tag_28 tag_29 tag_181 tag_185
q1274,36;37;181;183,tag_36 tag_37 tag_181 tag_183
q1162,38;39;183;184,tag_38 tag_39 tag_183 tag_184
q556,30;24;40;183;184,tag_30 tag_24 tag_40 tag_183 tag_184
q879,27;24;25;184;183,tag_27 tag_24 tag_25 tag_184 tag_183
q995,30;28;29;182;181,tag_30 tag_28 tag_29 tag_182 tag_181
q874,30;36;37;185;183,tag_30 tag_36 tag_37 tag_185 tag_183
q238,27;24;26;181;183,tag_27 tag_24 tag_26 tag_181 tag_183
q323,28;29;181;183,tag_28 tag_29 tag_181 tag_183
q214,31;32;185;183,tag_31 tag_32 tag_185 tag_183
q5069,93,tag_93
q5283,93,tag_93
q8791,85,tag_85
q9084,107,tag_107
q8825,108,tag_108
q3754,106,tag_106
q5594,80,tag_80
q3687,121,tag_121
q9067,85,tag_85
q4830,78,tag_78
q4122,113,tag_113
q9591,119,tag_119
q10293,85,tag_85
q4546,119,tag_119
q9066,77,tag_77
q9339,87,tag_87
q6329,94,tag_94
q5658,87,tag_87
q8606,77,tag_77
q6149,78,tag_78
q5397,105,tag_105
q8708,88,tag_88
q6066,90,tag_90
q10272,76,tag_76
q8658,73,tag_73
q5332,116,tag_116
q10087,83,tag_83
q5432,86,tag_86
q6436,85,tag_85
q1346,30;179;38;39;185;183,tag_30 tag_179 tag_38 tag_39 tag_185 tag_183
q8401,74,tag_74
q4343,83,tag_83
q5389,138,tag_138
q4504,74,tag_74
q433,24;40;181;183,tag_24 tag_40 tag_181 tag_183
q4133,76,tag_76
q4840,119,tag_119
q1092,24;25;182;183,tag_24 tag_25 tag_182 tag_183
q5946,80,tag_80
q6470,86,tag_86
q5421,78,tag_78
q4123,85,tag_85
q6269,74,tag_74
q4366,103,tag_103
q6026,96,tag_96
q4120,77,tag_77
q5902,119,tag_119
q4896,77,tag_77
q4103,77,tag_77
q5259,121,tag_121
q4908,84,tag_84
q213,27;24;40;185;183,tag_27 tag_24 tag_40 tag_185 tag_183
q3710,78,tag_78
q6446,85,tag_85
q6379,85,tag_85
q584,27;24;43;184;181,tag_27 tag_24 tag_43 tag_184 tag_181
q6171,96,tag_96
q562,30;31;32;181;183,tag_30 tag_31 tag_32 tag_181 tag_183
q938,36;37;182;184,tag_36 tag_37 tag_182 tag_184
q801,24;26;183;184,tag_24 tag_26 tag_183 tag_184
q3916,101,tag_101
q9454,77,tag_77
q5433,96,tag_96
q5718,76,tag_76
q8205,104,tag_104
q4527,122,tag_122
q3792,82,tag_82
q4139,74,tag_74
q3814,86,tag_86
q4913,74,tag_74
q9611,119,tag_119
q592,30;34;35;182;184,tag_30 tag_34 tag_35 tag_182 tag_184
q4066,87,tag_87
q4135,77,tag_77
q5564,84,tag_84
q5934,80,tag_80
q4918,78,tag_78
q115,15;2;183,tag_15 tag_2 tag_183
q17,19;2;183,tag_19 tag_2 tag_183
q660,30;179;34;35;183;182,tag_30 tag_179 tag_34 tag_35 tag_183 tag_182
q663,36;37;183;182,tag_36 tag_37 tag_183 tag_182
q781,44;45;185;183,tag_44 tag_45 tag_185 tag_183
q137,5;2;181,tag_5 tag_2 tag_181
q11195,8;2;184,tag_8 tag_2 tag_184
q126,15;2;185,tag_15 tag_2 tag_185
q8147,9;2;179;181,tag_9 tag_2 tag_179 tag_181
q11128,22;2;182,tag_22 tag_2 tag_182
q11052,19;2;184,tag_19 tag_2 tag_184
q4168,76,tag_76
q8921,92,tag_92
q8436,74,tag_74
q9114,85,tag_85
q4748,90,tag_90
q8720,144,tag_144
q4968,71,tag_71
q9734,83,tag_83
q9836,77,tag_77
q6321,129,tag_129
q4029,135,tag_135
q4843,120,tag_120
q9768,128,tag_128
q4387,98,tag_98
q8728,142,tag_142
q10280,85,tag_85
q9125,85,tag_85
q5748,94,tag_94
q8775,76,tag_76
q4340,98,tag_98
q4856,132,tag_132
q9166,85,tag_85
q4249,86,tag_86
q5645,83,tag_83
q6495,92,tag_92
q8879,85,tag_85
q5048,107,tag_107
q8827,108,tag_108
q9857,76,tag_76
q5185,74,tag_74
q1202,24;33;183;181,tag_24 tag_33 tag_183 tag_181
q596,24;33;183;181,tag_24 tag_33 tag_183 tag_181
q1093,30;24;26;183;181,tag_30 tag_24 tag_26 tag_183 tag_181
q870,30;179;31;32;185;184,tag_30 tag_179 tag_31 tag_32 tag_185 tag_184
q1671,179;56;183;184,tag_179 tag_56 tag_183 tag_184
q1672,53;183;184,tag_53 tag_183 tag_184
q1673,54;183;184,tag_54 tag_183 tag_184
q2343,56;185;181,tag_56 tag_185 tag_181
q2344,52;185;181,tag_52 tag_185 tag_181
q2345,55;185;181,tag_55 tag_185 tag_181
q1479,52;183;184,tag_52 tag_183 tag_184
q1480,52;183;184,tag_52 tag_183 tag_184
q1481,54;183;184,tag_54 tag_183 tag_184
q6837,116,tag_116
q6838,86,tag_86
q6839,143,tag_143
q6840,75,tag_75
q6889,179;71,tag_179 tag_71
q6890,179;83,tag_179 tag_83
q6891,179;74,tag_179 tag_74
q6892,179;143,tag_179 tag_143
q5054,107,tag_107
q9816,136,tag_136
q4970,74,tag_74
q8568,77,tag_77
q142,12;2;182,tag_12 tag_2 tag_182
q8113,11;7;181,tag_11 tag_7 tag_181
q10973,1;2;181,tag_1 tag_2 tag_181
q11194,22;2;183,tag_22 tag_2 tag_183
q77,11;7;183,tag_11 tag_7 tag_183
q191,4;2;183,tag_4 tag_2 tag_183
q36,8;2;182,tag_8 tag_2 tag_182
q11068,19;2;182,tag_19 tag_2 tag_182
q1133,23;24;25;181;184,tag_23 tag_24 tag_25 tag_181 tag_184
q1079,27;44;45;181;183,tag_27 tag_44 tag_45 tag_181 tag_183
q945,23;179;24;25;182;181,tag_23 tag_179 tag_24 tag_25 tag_182 tag_181
q701,44;45;182;183,tag_44 tag_45 tag_182 tag_183
q1184,179;31;32;184;182,tag_179 tag_31 tag_32 tag_184 tag_182
q1178,24;50;182;184,tag_24 tag_50 tag_182 tag_184
q449,179;24;41;185;183,tag_179 tag_24 tag_41 tag_185 tag_183
q275,30;179;34;35;184;181,tag_30 tag_179 tag_34 tag_35 tag_184 tag_181
q357,24;33;183;184,tag_24 tag_33 tag_183 tag_184
q1382,24;43;184;181,tag_24 tag_43 tag_184 tag_181
q917,44;45;181;183,tag_44 tag_45 tag_181 tag_183
q1080,24;40;182;181,tag_24 tag_40 tag_182 tag_181
q616,36;37;182;181,tag_36 tag_37 tag_182 tag_181
q1321,28;29;184;185,tag_28 tag_29 tag_184 tag_185
q1276,34;35;181;183,tag_34 tag_35 tag_181 tag_183
q389,24;50;185;184,tag_24 tag_50 tag_185 tag_184
q451,31;32;184;183,tag_31 tag_32 tag_184 tag_183
q1220,34;42;185;183,tag_34 tag_42 tag_185 tag_183
q811,179;31;32;183;185,tag_179 tag_31 tag_32 tag_183 tag_185
q467,27;46;47;183;184,tag_27 tag_46 tag_47 tag_183 tag_184
q479,179;24;40;182;183,tag_179 tag_24 tag_40 tag_182 tag_183
q946,36;32;182;181,tag_36 tag_32 tag_182 tag_181
q1149,24;48;182;184,tag_24 tag_48 tag_182 tag_184
q1032,31;32;184;183,tag_31 tag_32 tag_184 tag_183
q425,36;37;181;183,tag_36 tag_37 tag_181 tag_183
q858,24;50;185;181,tag_24 tag_50 tag_185 tag_181
q1300,24;50;185;181,tag_24 tag_50 tag_185 tag_181
q707,179;28;29;184;182,tag_179 tag_28 tag_29 tag_184 tag_182
q798,24;43;184;181,tag_24 tag_43 tag_184 tag_181
q437,31;32;183;185,tag_31 tag_32 tag_183 tag_185
q794,179;44;45;185;183,tag_179 tag_44 tag_45 tag_185 tag_183
q1049,31;42;181;183,tag_31 tag_42 tag_181 tag_183
q772,179;38;39;181;185,tag_179 tag_38 tag_39 tag_181 tag_185
q1803,179;56;183;182,tag_179 tag_56 tag_183 tag_182
q1804,53;183;182,tag_53 tag_183 tag_182
q1805,54;183;182,tag_54 tag_183 tag_182
q1575,53;185;184;183,tag_53 tag_185 tag_184 tag_183
q1576,57;185;184;183,tag_57 tag_185 tag_184 tag_183
q1577,52;185;184;183,tag_52 tag_185 tag_184 tag_183
q1881,53;182;183,tag_53 tag_182 tag_183
q1882,57;182;183,tag_57 tag_182 tag_183
q1883,52;182;183,tag_52 tag_182 tag_183
q1641,53;184;181,tag_53 tag_184 tag_181
q1642,54;184;181,tag_54 tag_184 tag_181
q1643,52;184;181,tag_52 tag_184 tag_181
q2250,179;53;182;181,tag_179 tag_53 tag_182 tag_181
q2251,52;182;181,tag_52 tag_182 tag_181
q2252,54;182;181,tag_54 tag_182 tag_181
q2583,179;53;182;181,tag_179 tag_53 tag_182 tag_181
q2584,54;182;181,tag_54 tag_182 tag_181
q2585,52;182;181,tag_52 tag_182 tag_181
q2052,53;183;185,tag_53 tag_183 tag_185
q2053,56;183;185,tag_56 tag_183 tag_185
q2054,52;183;185,tag_52 tag_183 tag_185
q2016,53;181;184,tag_53 tag_181 tag_184
q2017,54;181;184,tag_54 tag_181 tag_184
q2018,55;181;184,tag_55 tag_181 tag_184
q2256,53;182;183,tag_53 tag_182 tag_183
q2257,52;182;183,tag_52 tag_182 tag_183
q2258,179;54;182;183,tag_179 tag_54 tag_182 tag_183
q2490,52;184;183,tag_52 tag_184 tag_183
q2491,52;184;183,tag_52 tag_184 tag_183
q2492,52;184;183,tag_52 tag_184 tag_183
q3294,65;179;52;184,tag_65 tag_179 tag_52 tag_184
q3295,65;179;52;184,tag_65 tag_179 tag_52 tag_184
q3296,65;179;55;184,tag_65 tag_179 tag_55 tag_184
q3081,64;179;56;183,tag_64 tag_179 tag_56 tag_183
q3082,64;179;52;183,tag_64 tag_179 tag_52 tag_183
q3083,64;179;58;183,tag_64 tag_179 tag_58 tag_183
q3591,67;52;182,tag_67 tag_52 tag_182
q3592,67;52;182,tag_67 tag_52 tag_182
q3593,67;54;182,tag_67 tag_54 tag_182
q9991,83,tag_83
q3862,74,tag_74
q9979,76,tag_76
q10864,143,tag_143
q10865,80,tag_80
q10866,85,tag_85
q10867,118,tag_118
q133,8;2;179;183,tag_8 tag_2 tag_179 tag_183
q134,5;2;181,tag_5 tag_2 tag_181
q79,4;2;183,tag_4 tag_2 tag_183
q11184,3;2;181,tag_3 tag_2 tag_181
q1369,36;37;182;183,tag_36 tag_37 tag_182 tag_183
q1752,54;182;183,tag_54 tag_182 tag_183
q1753,58;182;183,tag_58 tag_182 tag_183
q1754,52;182;183,tag_52 tag_182 tag_183
q1902,53;181;185,tag_53 tag_181 tag_185
q1903,56;181;185,tag_56 tag_181 tag_185
q1904,54;181;185,tag_54 tag_181 tag_185
q3429,67;56;182,tag_67 tag_56 tag_182
q3430,67;52;182,tag_67 tag_52 tag_182
q3431,67;52;182,tag_67 tag_52 tag_182
q7323,157;149;177,tag_157 tag_149 tag_177
q7324,157;150;177,tag_157 tag_150 tag_177
q7325,157;153;177,tag_157 tag_153 tag_177
q7326,157;169;177,tag_157 tag_169 tag_177
